Stone Shape,Sieve /  MM,Stone Size
RND,0.8,0.0021
RND,0.9,0.00305
RND,1,0.00475
RND,1.1,0.006
RND,1.2,0.00775
RND,1.3,0.0105
RND,1.4,0.013
RND,1.5,0.015
RND,1.6,0.0165
RND,1.7,0.02
RND,1.8,0.024
RND,1.9,0.0275
RND,2,0.0315
RND,2.1,0.0375
RND,2.2,0.0445
RND,2.3,0.051
RND,2.4,0.056
RND,2.5,0.0615
RND,2.6,0.0665
RND,2.7,0.073
RND,2.8,0.0805
RND,2.9,0.0875
RND,3,0.097
RND,3.1,0.107
RND,3.2,0.1185
RND,3.3,0.1315
RND,3.4,0.1415
RND,3.5,0.1515
RND,3.6,0.1715
RND,3.7,0.1975
RND,3.8,0.215
RND,3.9,0.23
RND,4,0.24
RND,4.1,0.26
RND,4.2,0.275
RND,4.3,0.305
RND,4.4,0.325
RND,4.5,0.35
RND,4.6,0.37
RND,4.7,0.405
RND,4.8,0.435
RND,4.9,0.455
RND,5,0.475
RND,5.1,0.515
RND,5.2,0.53
RND,5.3,0.55
RND,5.4,0.6
RND,5.5,0.62
RND,5.6,0.67
RND,5.7,0.72
RND,5.8,0.755
RND,5.9,0.79
RND,6,0.815
RND,6.1,0.865
RND,6.2,0.89
RND,6.3,0.92
RND,6.4,0.99
RND,6.5,1.04
RND,6.6,1.1
RND,6.7,1.135
RND,6.8,1.21
RND,6.9,1.265
RND,7,1.305
RND,7.1,1.36
RND,7.2,1.415
RND,7.3,1.47
RND,7.4,1.54
RND,7.5,1.63
RND,7.6,1.705
RND,7.7,1.75
RND,7.8,1.85
RND,7.9,1.925
RND,8,2
RND,8.1,2.05
RND,8.2,2.125
RND,8.3,2.15
RND,8.4,2.24
RND,8.5,2.35
RND,8.6,2.45
RND,8.7,2.52
RND,8.8,2.625
RND,8.9,2.7
RND,9,2.8
RND,9.1,2.9
RND,9.2,2.99
RND,9.3,3.09
RND,9.4,3.175
RND,9.5,3.3
RND,9.6,3.4
RND,9.7,3.475
RND,9.8,3.55
RND,9.9,3.65
RND,10,3.85
RND,10.1,3.975
RND,10.2,4.05
RND,10.3,4.125
RND,10.4,4.25
RND,10.5,4.35
RND,10.6,4.5
RND,10.7,4.6
RND,10.8,4.8
RND,10.9,5
RND,11,5.1
RND,11.1,5.225
RND,11.2,5.325
RND,11.3,5.4
RND,11.4,5.7
RND,11.5,5.875
RND,11.6,6.075
RND,11.7,6.25
RND,11.8,6.35
RND,11.9,6.5
RND,12,6.75
RND,12.1,6.8
RND,12.2,6.95
RND,12.3,6.95
RND,12.4,7.275
RND,12.5,7.35
RND,12.6,7.65
RND,12.7,7.7
RND,12.8,7.85
RND,12.9,8.1
RND,13,8.3
Princess,2.40X2.40,0.09
Princess,2.50X2.50,0.1
Princess,2.60X2.60,0.11
