Date :2023-5-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vendor Style No,ALTR no.,Picture,Metal Kt / Color,Metal Rate $ P. Oz,Metal Wt. in Gm,Metal Rate in Gms,Metal Cost,Finding Cost,Stone Shape,Stone Qlty,Sieve /  MM,Stone Size,Stone wt. Total,Stone Rate,Stone Cost,Stone Pcs,Setting Type,Setting Rate,Setting Charges,Other Charges,Charges,,Details,Minimum Diam Wt,Cost,Price 1,INCR/DECR,,,,,
VD163D2-R6605,D2-RF2A4948,ZR1584E-210GD-A,,14KW,2800,3.98,58.81438852,234.0812663,,RD,FG VS2,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.6,332.75,,0.083600452,,,,,
make directly from cad,RM 5455,ZR1584SM-60CZ-L,,,,,,,,RD,E VS2,1.2,,0.18,120,21.6,20,prong,0.5,10,J Back,,,Duty/Ship,,23.2925,,,0.083600452,0.6,RD,1.5,356.0425
,SIZE US 6.5,01/15/2024,,,,,,,,RD,E VS2,1.4,,0.26,88,22.88,20,prong,0.5,10,Dia. Han.,1.83342,,Total Imp. Cost,,356.0425,715,,,,,,
,,01/15/2024,,,,,,,,RD,E VS2,1.7,,0.04,88,3.52,2,prong,0.5,1,Miligrain,,,Center,1.5,450.84,1027,,,,,,
,,,,,,,,,,RD,E VS2,2,,0.064,79,5.056,2,prong,0.5,1,Two Tone,,,Setting,,24,30,,,,,,
,,,,,,,,,,RD,E VS2,2.3,,0.102,79,8.058,2,prong,0.75,1.5,Solder,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,engraving,,,,,,,,,,,,
Main Category,,,,,,,,,,,,,,,,,,,,,Rhoudium,2,,,,,,,,,,,
Sub Category,,,,,,,,,,,,,,,,,,,,,,,,Total,2.1,830.8825,1772,,,,,,
Collection,,,,,,,Total,234.0812663,0,,,,,0.646,,61.114,47,,,23.5,,13.93342,,Net Margin,,,53%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VD163D2-R6607,D2-RF027158,ZR1585E-180GD-A,,14KW,2800,4.55,58.81438852,267.6054678,,RD,EF VS,7.3,,,,0,1,prong,,0,CFP,10.1,,Semi / Comp,0.3,320.75,,0.095573381,,,,,
make directly from cad,RM 5457,ZR1585SM-30CZ-L,,,,,,,,RD,E VS2,1.5,,0.33,88,29.04,22,prong,0.5,11,J Back,,,Duty/Ship,,22.4525,,,0.095573381,0.3,RD,1.5,343.2025
,SIZE US 6.5,01/14/1900,,,,,,,,,,,,,,,,,,,Dia. Han.,0.8712,,Total Imp. Cost,,343.2025,690,,,,,,
,,01/14/1900,,,,,,,,,,,,,,,,,,,Miligrain,,,Center,1.5,,,,,,,,
