Shape,AVGMM,Price Group,Pointer range,MINMM,MAXMM,MINWT,MAXWT,AVGWT
Princess,2.40 X 2.40,P12,0.09-0.12,2.30 X 2.30,2.50 X 2.50,0.07000,0.11000,0.09000
Princess,2.50 X 2.50,P12,0.09-0.12,2.40 X 2.40,2.60 X 2.60,0.08000,0.12000,0.10000
Princess,2.60 X 2.60,P12,0.09-0.12,2.50 X 2.50,2.70 X 2.70,0.09000,0.13000,0.11000
Princess,2.70 X 2.70,P12,0.09-0.12,2.60 X 2.60,2.80 X 2.80,0.10000,0.14000,0.12000
Princess,2.80 X 2.80,P17,0.13-0.17,2.70 X 2.70,2.90 X 2.90,0.12000,0.16000,0.14000
Princess,2.90 X 2.90,P17,0.13-0.17,2.80 X 2.80,3.00 X 3.00,0.13000,0.17000,0.15000
Princess,3.00 X 3.00,P17,0.13-0.17,2.90 X 2.90,3.10 X 3.10,0.15000,0.19000,0.17000
Princess,3.10 X 3.10,P18,0.18-0.22,3.00 X 3.00,3.20 X 3.20,0.17000,0.21000,0.19000
Princess,3.20 X 3.20,P18,0.18-0.22,3.10 X 3.10,3.30 X 3.30,0.18000,0.22000,0.20000
Princess,3.30 X 3.30,P18,0.18-0.22,3.20 X 3.20,3.40 X 3.40,0.20000,0.24000,0.22000
Princess,3.40 X 3.40,P23,0.23-0.29,3.30 X 3.30,3.50 X 3.50,0.23000,0.27000,0.25000
Princess,3.50 X 3.50,P23,0.23-0.29,3.40 X 3.40,3.60 X 3.60,0.25000,0.29000,0.27000
Princess,3.60 X 3.60,P30,0.30-0.39,3.50 X 3.50,3.70 X 3.70,0.28000,0.32000,0.30000
Princess,3.70 X 3.70,P30,0.30-0.39,3.60 X 3.60,3.80 X 3.80,0.30000,0.34000,0.32000
Princess,3.80 X 3.80,P30,0.30-0.39,3.70 X 3.70,3.90 X 3.90,0.33000,0.37000,0.35000
Princess,3.90 X 3.90,P36,0.36-0.45,3.80 X 3.80,4.00 X 4.00,0.35000,0.39000,0.37000
Princess,4.00 X 4.00,P40,0.40-0.49,3.90 X 3.90,4.10 X 4.10,0.38000,0.42000,0.40000
Princess,4.10 X 4.10,P40,0.40-0.49,4.00 X 4.00,4.20 X 4.20,0.42000,0.46000,0.44000
Princess,4.20 X 4.20,P46,0.46-0.55,4.10 X 4.10,4.30 X 4.30,0.45000,0.49000,0.47000
Princess,4.25 X 4.25,P46,0.46-0.55,4.15 X 4.15,4.35 X 4.35,0.47000,0.51000,0.49000
Princess,4.30 X 4.30,P50,0.50-0.59,4.20 X 4.20,4.40 X 4.40,0.48000,0.52000,0.50000
Princess,4.40 X 4.40,P50,0.50-0.59,4.30 X 4.30,4.50 X 4.50,0.52000,0.56000,0.54000
Princess,4.50 X 4.50,P58,0.58-0.69,4.40 X 4.40,4.60 X 4.60,0.56000,0.60000,0.58000
Princess,4.60 X 4.60,P60,0.60-0.69,4.50 X 4.50,4.70 X 4.70,0.60000,0.64000,0.62000
Princess,4.70 X 4.70,P60,0.60-0.69,4.60 X 4.60,4.80 X 4.80,0.64000,0.68000,0.66000
Princess,4.80 X 4.80,P70,0.70-0.79,4.70 X 4.70,4.90 X 4.90,0.70000,0.79000,0.74000
Princess,5.00 X 5.00,P80,0.80-0.89,4.90 X 4.90,5.10 X 5.10,0.80000,0.89000,0.84000
Princess,5.25 X 5.25,P90,0.90-0.99,5.15 X 5.15,5.35 X 5.35,0.90000,0.99000,0.95000
Princess,5.50 X 5.50,P100,1.00-1.19,5.40 X 5.40,5.60 X 5.60,1.00000,1.19000,1.04000
Princess,5.75 X 5.75,P120,1.20-1.39,5.60 X 5.60,6.00 X 6.00,1.20000,1.39000,1.25000
Princess,6.30 X 6.30,P140,1.40-1.49,6.20 X 6.20,6.40 X 6.40,1.40000,1.49000,1.45000
Princess,6.35 X 6.35,P150,1.50-1.69,6.25 X 6.25,6.45 X 6.45,1.50000,1.69000,1.55000
Princess,6.50 X 6.50,P170,1.70-1.99,6.40 X 6.40,6.60 X 6.60,1.70000,1.99000,1.75000
Princess,6.90 X 6.90,P200,2.00-2.49,6.70 X 6.70,7.10 X 7.10,2.00000,2.49000,2.08000
Princess,7.50 X 7.50,P250,2.50-2.99,7.20 X 7.20,7.80 X 7.80,2.50000,2.99000,2.60000
ASSCHER,2.50 X 2.50,A12,0.09-0.12,2.40 X 2.40,2.60 X 2.60,0.07000,0.11000,0.09000
ASSCHER,2.60 X 2.60,A12,0.09-0.12,2.50 X 2.50,2.70 X 2.70,0.08000,0.12000,0.10000
ASSCHER,2.70 X 2.70,A12,0.09-0.12,2.60 X 2.60,2.80 X 2.80,0.09000,0.13000,0.11000
ASSCHER,2.80 X 2.80,A17,0.13-0.17,2.70 X 2.70,2.90 X 2.90,0.11000,0.15000,0.13000
ASSCHER,2.90 X 2.90,A17,0.13-0.17,2.80 X 2.80,3.00 X 3.00,0.12000,0.16000,0.14000
ASSCHER,3.00 X 3.00,A17,0.13-0.17,2.90 X 2.90,3.10 X 3.10,0.14000,0.18000,0.16000
ASSCHER,3.10 X 3.10,A18,0.18-0.22,3.00 X 3.00,3.20 X 3.20,0.16000,0.20000,0.18000
ASSCHER,3.20 X 3.20,A18,0.18-0.22,3.10 X 3.10,3.30 X 3.30,0.17000,0.21000,0.19000
ASSCHER,3.30 X 3.30,A18,0.18-0.22,3.20 X 3.20,3.40 X 3.40,0.19000,0.23000,0.21000
ASSCHER,3.40 X 3.40,A23,0.23-0.29,3.30 X 3.30,3.50 X 3.50,0.21000,0.25000,0.23000
ASSCHER,3.50 X 3.50,A23,0.23-0.29,3.40 X 3.40,3.60 X 3.60,0.23000,0.27000,0.25000
ASSCHER,3.60 X 3.60,A23,0.23-0.29,3.50 X 3.50,3.70 X 3.70,0.26000,0.30000,0.28000
ASSCHER,3.70 X 3.70,A30,0.30-0.39,3.60 X 3.60,3.80 X 3.80,0.28000,0.32000,0.30000
ASSCHER,3.80 X 3.80,A30,0.30-0.39,3.70 X 3.70,3.90 X 3.90,0.32000,0.36000,0.34000
ASSCHER,3.90 X 3.90,A36,0.36-0.45,3.80 X 3.80,4.00 X 4.00,0.34000,0.38000,0.36000
ASSCHER,4.00 X 4.00,A40,0.40-0.49,3.90 X 3.90,4.10 X 4.10,0.38000,0.42000,0.40000
ASSCHER,4.10 X 4.10,A40,0.40-0.49,4.00 X 4.00,4.20 X 4.20,0.39000,0.43000,0.41000
ASSCHER,4.20 X 4.20,A46,0.46-0.55,4.10 X 4.10,4.30 X 4.30,0.44000,0.48000,0.46000
ASSCHER,4.30 X 4.30,A46,0.46-0.55,4.20 X 4.20,4.40 X 4.40,0.47000,0.51000,0.49000
ASSCHER,4.40 X 4.40,A50,0.50-0.59,4.30 X 4.30,4.50 X 4.50,0.50000,0.54000,0.52000
ASSCHER,4.50 X 4.50,A50,0.50-0.59,4.40 X 4.40,4.60 X 4.60,0.54000,0.58000,0.56000
HEART,3.10 X 3.75,H17,0.13-0.17,3.00 X 3.55,3.20 X 3.95,0.12000,0.16000,0.14000
HEART,3.20 X 3.75,H17,0.13-0.17,3.10 X 3.55,3.30 X 3.95,0.13000,0.17000,0.15000
HEART,3.30 X 3.75,H17,0.13-0.17,3.20 X 3.55,3.40 X 3.95,0.14000,0.18000,0.16000
HEART,3.40 X 4.13,H18,0.18-0.22,3.30 X 3.96,3.50 X 4.29,0.18000,0.22000,0.20000
HEART,3.50 X 4.13,H18,0.18-0.22,3.40 X 3.96,3.60 X 4.29,0.18000,0.22000,0.20000
HEART,3.60 X 4.13,H18,0.18-0.22,3.50 X 3.96,3.70 X 4.29,0.19000,0.23000,0.21000
HEART,3.70 X 4.47,H23,0.23-0.29,3.60 X 4.30,3.80 X 4.64,0.23000,0.27000,0.25000
HEART,3.80 X 4.47,H23,0.23-0.29,3.70 X 4.30,3.90 X 4.64,0.24000,0.28000,0.26000
HEART,3.90 X 4.47,H23,0.23-0.29,3.80 X 4.30,4.00 X 4.64,0.24000,0.28000,0.26000
