Stone Shape,Sieve /  MM,AVG WT
RD,0.80,0.00210
RD,0.90,0.00305
RD,1.00,0.00475
RD,1.10,0.00600
RD,1.20,0.00775
RD,1.30,0.01050
RD,1.40,0.01300
RD,1.50,0.01500
RD,1.60,0.01650
RD,1.70,0.02000
RD,1.80,0.02400
RD,1.90,0.02750
RD,2.00,0.03150
RD,2.10,0.03750
RD,2.20,0.04450
RD,2.30,0.05100
RD,2.40,0.05600
RD,2.50,0.06150
RD,2.60,0.06650
RD,2.70,0.07300
RD,2.80,0.08050
RD,2.90,0.08750
RD,3.00,0.09700
RD,3.10,0.10700
RD,3.20,0.11850
RD,3.30,0.13150
RD,3.40,0.14150
RD,3.50,0.15150
RD,3.60,0.17150
RD,3.70,0.19750
RD,3.80,0.21500
RD,3.90,0.23000
RD,4.00,0.24000
RD,4.10,0.26000
RD,4.20,0.27500
RD,4.30,0.30500
RD,4.40,0.32500
RD,4.50,0.35000
RD,4.60,0.37000
RD,4.70,0.40500
RD,4.80,0.43500
RD,4.90,0.45500
RD,5.00,0.47500
RD,5.10,0.51500
RD,5.20,0.53000
RD,5.30,0.55000
RD,5.40,0.60000
RD,5.50,0.62000
RD,5.60,0.67000
RD,5.70,0.72000
RD,5.80,0.75500
RD,5.90,0.79000
RD,6.00,0.81500
RD,6.10,0.86500
RD,6.20,0.89000
RD,6.30,0.92000
RD,6.40,0.99000
RD,6.50,1.04000
RD,6.60,1.10000
RD,6.70,1.13500
RD,6.80,1.21000
RD,6.90,1.26500
RD,7.00,1.30500
RD,7.10,1.36000
RD,7.20,1.41500
RD,7.30,1.47000
RD,7.40,1.54000
RD,7.50,1.63000
RD,7.60,1.70500
RD,7.70,1.75000
RD,7.80,1.85000
RD,7.90,1.92500
RD,8.00,2.00000
RD,8.10,2.05000
RD,8.20,2.12500
RD,8.30,2.15000
RD,8.40,2.24000
RD,8.50,2.35000
RD,8.60,2.45000
RD,8.70,2.52000
RD,8.80,2.62500
RD,8.90,2.70000
RD,9.00,2.80000
RD,9.10,2.90000
RD,9.20,2.99000
RD,9.30,3.09000
RD,9.40,3.17500
RD,9.50,3.30000
RD,9.60,3.40000
RD,9.70,3.47500
RD,9.80,3.55000
RD,9.90,3.65000
RD,10.00,3.85000
RD,10.10,3.97500
RD,10.20,4.05000
RD,10.30,4.12500
RD,10.40,4.25000
RD,10.50,4.35000
RD,10.60,4.50000
RD,10.70,4.60000
RD,10.80,4.80000
RD,10.90,5.00000
RD,11.00,5.10000
RD,11.10,5.22500
RD,11.20,5.32500
RD,11.30,5.40000
RD,11.40,5.70000
RD,11.50,5.87500
RD,11.60,6.07500
RD,11.70,6.25000
RD,11.80,6.35000
RD,11.90,6.50000
RD,12.00,6.75000
RD,12.10,6.80000
RD,12.20,6.95000
RD,12.30,6.95000
RD,12.40,7.27500
RD,12.50,7.35000
RD,12.60,7.65000
RD,12.70,7.70000
RD,12.80,7.85000
RD,12.90,8.10000
RD,13.00,8.30000
Princess,2.40X2.40,0.09000
Princess,2.50X2.50,0.10000
Princess,2.60X2.60,0.11000
Princess,2.70X2.70,0.12000
Princess,2.80X2.80,0.14000
Princess,2.90X2.90,0.15000
Princess,3.00X3.00,0.17000
Princess,3.10X3.10,0.19000
Princess,3.20X3.20,0.20000
Princess,3.30X3.30,0.22000
Princess,3.40X3.40,0.25000
Princess,3.50X3.50,0.27000
Princess,3.60X3.60,0.30000
Princess,3.70X3.70,0.32000
Princess,3.80X3.80,0.35000
Princess,3.90X3.90,0.37000
Princess,4.00X4.00,0.40000
Princess,4.10X4.10,0.44000
Princess,4.20X4.20,0.47000
Princess,4.25X4.25,0.49000
Princess,4.30X4.30,0.50000
Princess,4.40X4.40,0.54000
Princess,4.50X4.50,0.58000
Princess,4.60X4.60,0.62000
